# PBBS_v2
pbbs_v2,delaunayTriangulation/incrementalDelaunay,delaunay,delaunayCheck,geometryData,"","2DinCube_10000000"
pbbs_v2,invertedIndex/parallel,index,indexCheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,maximalIndependentSet/incrementalMIS,MIS,MISCheck,graphData,"","rMatGraph_JR_12_16000000"
pbbs_v2,maximalIndependentSet/ndMIS,MIS,MISCheck,graphData,"","rMatGraph_JR_12_16000000"
pbbs_v2,spanningForest/incrementalST,ST,STCheck,graphData,"","rMatGraph_E_12_16000000"
pbbs_v2,spanningForest/ndST,ST,STCheck,graphData,"","rMatGraph_E_12_16000000"
pbbs_v2,maximalMatching/incrementalMatching,matching,matchingCheck,graphData,"","rMatGraph_E_12_16000000"
pbbs_v2,minSpanningForest/parallelKruskal,MST,MSTCheck,graphData,"","rMatGraph_WE_12_16000000"
pbbs_v2,minSpanningForest/parallelFilterKruskal,MST,MSTCheck,graphData,"","rMatGraph_WE_12_16000000"
pbbs_v2,BWDecode/listRank,bw,bwCheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,wordCounts/histogram,wc,wcCheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,wordCounts/histogramStar,wc,wcCheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,longestRepeatedSubstring/doubling,lrs,lrsCheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,suffixArray/parallelRange,SA,SACheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,suffixArray/parallelKS,SA,SACheck,sequenceData,"","wikipedia250M.txt"
pbbs_v2,nearestNeighbors/octTree,neighbors,neighborsCheck,geometryData,"","2DinCube_100000000"
pbbs_v2,convexHull/quickHull,hull,hullCheck,geometryData,"","2DinCube_100000000"
pbbs_v2,delaunayRefine/incrementalRefine,refine,refineCheck,geometryData,"","2DinCubeDelaunay_5000000"
pbbs_v2,comparisonSort/mergeSort,sort,sortCheck,sequenceData,"","randomSeq_100M_double"
pbbs_v2,comparisonSort/quickSort,sort,sortCheck,sequenceData,"","randomSeq_100M_double"
pbbs_v2,comparisonSort/sampleSort,sort,sortCheck,sequenceData,"","randomSeq_100M_double"
pbbs_v2,comparisonSort/stableSampleSort,sort,sortCheck,sequenceData,"","randomSeq_100M_double"
pbbs_v2,classify/decisionTree,classify,classifyCheck,sequenceData,"","covtype.data"
pbbs_v2,removeDuplicates/parlayhash,dedup,dedupCheck,sequenceData,"","randomSeq_100M_int"
pbbs_v2,integerSort/parallelRadixSort,isort,isortCheck,sequenceData,"","randomSeq_100M_int"
pbbs_v2,histogram/parallel,histogram,histogramCheck,sequenceData,"","randomSeq_100M_int"
pbbs_v2,nBody/parallelCK/,nbody,nbodyCheck,geometryData,"","3DinCube_1000000"
pbbs_v2,breadthFirstSearch/deterministicBFS/,BFS,BFSCheck,graphData,"","rMatGraph_J_12_32000000"
#pbbs_v2,rayCast/kdTree,ray,rayCheck,geometryData,"","happyTriangles ../geometryData/data/happyRays"
